epci_code,EPCI,admin_website_url
200041440,CC de Gâtine et Choisilles - Pays de Racan,
241700632,CC de Gémozac et de la Saintonge Viticole,
200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,
200033827,CC de Grand Lieu,
200042604,"CC de Granville, Terre et Mer",
200067783,CC de Hanau-la Petite Pierre,
242900561,CC de Haute-Cornouaille,
247300254,CC de Haute-Tarentaise,
248900383,CC de l'Agglomération Migennoise,
200067783,CC de l'Aillantais,
200066140,CC de l'Aire à l'Argonne,
246000764,CC de l'Aire Cantilienne,
200067841,CC de l'Alsace Bossue,
242000495,CC de l'Alta Rocca,
245701354,CC de l'Arc Mosellan,
240800920,CC de l'Argonne Ardennaise,
200042703,CC de l'Argonne Champenoise,
245300355,CC de l'Ernée,
200070985,CC de l'Est de la Somme,
249730052,CC de l'Est Guyanais,
242900561,CC de l'Est Lyonnais (Ccel),
243300811,CC de l'Estuaire,
241700624,CC de l'Ile d'Oléron,
246900575,CC de l'Ile de Noirmoutier,
241700624,CC de l'Ile de Ré,
248500191,CC de l'Ile-Rousse - Balagne,
243800745,CC de l'Oisans,
200068005,CC de l'Oise Picarde,
200015162,CC de l'Oriente,
241000488,CC de l'Orvin et de l'Ardusson,
249730037,CC de l'Ouest Guyanais,
200068559,CC de l'Ouest Vosgien,
200068559,CC de l'Ouest Vosgien,
200066785,CC de l'Oust à Brocéliande,
200040178,CC de l'Outre-Forêt,
200042729,CC de la Baie du Cotentin,https://baieducotentin.geosphere.fr/guichet-unique/Login/Particulier
246700843,CC de la Basse-Zorn,
200035764,CC de la Beauce Loirétaine,
245100888,CC de la Brie Champenoise,
200073252,CC de la Castagniccia-Casinca,
200072718,CC de la Champagne Conlinoise et du Pays de Sillé,
240200576,CC de la Champagne Picarde,
200066678,CC de la Châtaigneraie Cantalienne,
243600350,CC de la Châtre et Sainte-Sévère,
200067668,"CC de la Cléry, du Betz et de l'Ouanne",
200067668,"CC de la Cléry, du Betz et de l'Ouanne",
200034205,CC de la Costa Verde,
200069839,CC de la Côte d'Albâtre,
240100610,CC de la Côtière à Montluel,
200069193,CC de la Dombes,
244500484,CC de la Forêt,
200023620,CC de la Gascogne Toulousaine,
245100615,CC de la Grande Vallée de la Marne,https://www.agglo-pvm.fr/pratique/demarches-durbanisme-en-ligne
200066363,CC de la Haute Ariège,
200041721,CC de la Haute Comté,
200037059,CC de la Haute Somme (Combles - Péronne - Roisel),
200033173,CC de la Haute Vallée de Chevreuse,
246500482,CC de la Haute-Bigorre,
241700459,CC de la Haute-Deûle,
200073104,CC de la Haute-Saintonge,https://webads.haute-saintonge.org/NetADS/sve/connexion
243200391,CC de la Lomagne Gersoise,
248200065,CC de la Lomagne Tarn-et-Garonnaise,
200007052,CC de la Marche Berrichonne,
200040657,CC de la Matheysine,
200043438,CC de la Moivre à la Coole,
200072007,CC de la Montagne d'Ardèche,
200042463,CC de la Montagne Noire,
200068864,CC de la Mossig et du Vignoble,
241200914,CC de la Muse et des Raspes du Tarn,
246000848,CC de la Picardie Verte,
200038958,CC de la Pieve de l'Ornano,
246000897,CC de la Plaine d'Estrées,
240100883,CC de la Plaine de l'Ain,
200000925,CC de la Plaine Dijonnaise,
244500542,CC de la Plaine du Nord Loiret,
200041283,CC de la Plaine du Rhin,
243901089,CC de la Plaine Jurassienne,
200068377,CC de la Porte des Vosges Méridionales,
246200844,CC de la Région d'Audruicq,
200041523,CC de la Région d'Orgelet,
241000405,CC de la Région de Bar-sur-Aube,
244400453,CC de la Région de Blain,
